Town#,Town,Median Income,
1,Abington,"$80,148",
2,Acton,"$125,635",
3,Acushnet,"$67,421",
4,Adams,"$45,893",
5,Agawam,"$61,494",
6,Alford,"$95,313",
7,Amesbury,"$76,558",
8,Amherst,"$48,059",
9,Andover,"$129,082",
10,Arlington,"$93,787",
11,Ashburnham,"$87,615",
12,Ashby,"$82,019",
13,Ashfield,"$71,364",
14,Ashland,"$102,911",
15,Athol,"$47,598",
16,Attleboro,"$67,736",
17,Auburn,"$72,432",
18,Avon,"$76,065",
19,Ayer,"$74,659",
20,Barnstable,"$59,711",
21,Barre,"$67,536",
22,Becket,"$64,886",
23,Bedford,"$113,729",
24,Belchertown,"$76,881",
25,Bellingham,"$88,460",
26,Belmont,"$110,685",
27,Berkley,"$86,288",
28,Berlin,"$88,816",
29,Bernardston,"$61,103",
30,Beverly,"$72,837",
31,Billerica,"$96,316",
32,Blackstone,"$73,679",
33,Blandford,"$71,458",
34,Bolton,"$147,446",
35,Boston,"$55,777",
36,Bourne,"$69,157",
37,Boxborough,"$102,699",
38,Boxford,"$140,268",
39,Boylston,"$102,905",
40,Braintree,"$84,776",
41,Brewster,"$66,220",
42,Bridgewater,"$84,697",
43,Brimfield,"$87,961",
44,Brockton,"$47,557",
45,Brookfield,"$63,920",
46,Brookline,"$95,518",
47,Buckland,"$56,875",
48,Burlington,"$94,518",
49,Cambridge,"$79,416",
50,Canton,"$95,045",
51,Carlisle,"$166,111",
52,Carver,"$74,375",
53,Charlemont,"$53,750",
54,Charlton,"$87,294",
55,Chatham,"$67,587",
56,Chelmsford,"$95,290",
57,Chelsea,"$47,733",
58,Cheshire,"$55,063",
59,Chester,"$67,738",
60,Chesterfield,"$64,167",
61,Chicopee,"$47,684",
62,Chilmark,"$78,333",
63,Clarksburg,"$56,625",
64,Clinton,"$62,805",
65,Cohasset,"$113,843",
66,Colrain,"$50,458",
67,Concord,"$134,036",
68,Conway,"$76,667",
69,Cummington,"$50,565",
70,Dalton,"$47,013",
71,Danvers,"$77,949",
72,Dartmouth,"$68,265",
73,Dedham,"$83,438",
74,Deerfield,"$74,853",
75,Dennis,"$53,381",
76,Dighton,"$78,931",
77,Douglas,"$85,313",
78,Dover,"$185,542",
79,Dracut,"$77,848",
80,Dudley,"$66,339",
81,Dunstable,"$118,523",
82,Duxbury,"$120,267",
83,East Bridgewater,"$84,118",
84,East Brookfield,"$72,375",
85,East Longmeadow,"$81,655",
86,Eastham,"$60,760",
87,Easthampton,"$56,527",
88,Easton,"$96,059",
89,Edgartown,"$60,714",
90,Egremont,"$64,044",
91,Erving,"$60,769",
92,Essex,"$92,396",
93,Everett,"$50,762",
94,Fairhaven,"$61,274",
95,Fall River,"$35,213",
96,Falmouth,"$66,670",
97,Fitchburg,"$48,724",
98,Florida,"$53,438",
99,Foxborough,"$88,766",
100,Framingham,"$68,219",
101,Franklin,"$108,272",
102,Freetown,"$87,921",
103,Gardner,"$43,905",
104,Gay Head,"$64,688",
105,Georgetown,"$107,683",
106,Gill,"$73,750",
107,Gloucester,"$61,505",
108,Goshen,"$71,118",
109,Gosnold,"$32,292",
110,Grafton,"$88,712",
111,Granby,"$86,910",
112,Granville,"$79,464",
113,Great Barrington,"$55,588",
114,Greenfield,"$49,612",
115,Groton,"$116,642",
116,Groveland,"$95,208",
117,Hadley,"$65,625",
118,Halifax,"$64,013",
119,Hamilton,"$109,500",
120,Hampden,"$81,018",
121,Hancock,"$74,554",
122,Hanover,"$101,823",
123,Hanson,"$91,384",
124,Hardwick,"$56,278",
125,Harvard,"$126,061",
126,Harwich,"$68,267",
127,Hatfield,"$65,451",
128,Haverhill,"$60,888",
129,Hawley,"$68,750",
130,Heath,"$51,625",
131,Hingham,"$116,187",
132,Hinsdale,"$63,555",
133,Holbrook,"$66,370",
134,Holden,"$98,630",
135,Holland,"$75,000",
136,Holliston,"$108,869",
137,Holyoke,"$36,608",
138,Hopedale,"$95,268",
139,Hopkinton,"$138,551",
140,Hubbardston,"$81,757",
141,Hudson,"$75,985",
142,Hull,"$74,391",
143,Huntington,"$62,976",
144,Ipswich,"$76,458",
145,Kingston,"$85,384",
146,Lakeville,"$90,876",
147,Lancaster,"$96,813",
148,Lanesborough,"$68,036",
149,Lawrence,"$34,852",
150,Lee,"$58,790",
151,Leicester,"$69,099",
152,Lenox,"$49,634",
153,Leominster,"$58,955",
154,Leverett,"$83,333",
155,Lexington,"$149,306",
156,Leyden,"$76,250",
157,Lincoln,"$128,934",
158,Littleton,"$111,680",
159,Longmeadow,"$111,081",
160,Lowell,"$48,002",
161,Ludlow,"$63,548",
162,Lunenburg,"$80,572",
163,Lynn,"$47,429",
164,Lynnfield,"$118,828",
165,Malden,"$54,896",
166,Manchester,"$95,243",
167,Mansfield,"$93,019",
168,Marblehead,"$102,993",
169,Marion,"$76,503",
170,Marlborough,"$71,790",
171,Marshfield,"$84,167",
172,Mashpee,"$70,313",
173,Mattapoisett,"$86,659",
174,Maynard,"$88,333",
175,Medfield,"$138,036",
176,Medford,"$76,445",
177,Medway,"$110,241",
178,Melrose,"$85,521",
179,Mendon,"$108,942",
180,Merrimac,"$73,986",
181,Methuen,"$71,392",
182,Middleborough,"$76,500",
183,Middlefield,"$78,281",
184,Middleton,"$108,622",
185,Milford,"$69,741",
186,Millbury,"$71,151",
187,Millis,"$92,042",
188,Millville,"$81,438",
189,Milton,"$116,444",
190,Monroe,"$33,750",
191,Monson,"$67,807",
192,Montague,"$52,283",
193,Monterey,"$53,000",
194,Montgomery,"$76,250",
195,Mount Washington,"$66,500",
196,Nahant,"$65,284",
197,Nantucket,"$84,057",
198,Natick,"$100,469",
199,Needham,"$132,237",
200,New Ashford,"$88,750",
201,New Bedford,"$37,574",
202,New Braintree,"$80,000",
203,New Marlborough,"$74,688",
204,New Salem,"$68,500",
205,Newbury,"$91,168",
206,Newburyport,"$85,556",
207,Newton,"$122,080",
208,Norfolk,"$141,278",
209,North Adams,"$38,490",
210,North Andover,"$100,286",
211,North Attleborough,"$81,849",
212,North Brookfield,"$68,232",
213,North Reading,"$123,103",
214,Northampton,"$59,274",
215,Northborough,"$107,797",
216,Northbridge,"$72,550",
217,Northfield,"$63,491",
218,Norton,"$91,438",
219,Norwell,"$111,628",
220,Norwood,"$80,532",
221,Oak Bluffs,"$75,242",
222,Oakham,"$80,313",
223,Orange,"$38,585",
224,Orleans,"$64,861",
225,Otis,"$61,406",
226,Oxford,"$66,713",
227,Palmer,"$51,376",
228,Paxton,"$91,989",
229,Peabody,"$60,596",
230,Pelham,"$90,000",
231,Pembroke,"$90,790",
232,Pepperell,"$80,524",
233,Peru,"$66,354",
234,Petersham,"$64,000",
235,Phillipston,"$78,523",
236,Pittsfield,"$43,916",
237,Plainfield,"$55,938",
238,Plainville,"$91,009",
239,Plymouth,"$76,835",
240,Plympton,"$90,648",
241,Princeton,"$114,167",
242,Provincetown,"$36,958",
243,Quincy,"$64,155",
244,Randolph,"$63,681",
245,Raynham,"$82,995",
246,Reading,"$107,654",
247,Rehoboth,"$88,868",
248,Revere,"$50,886",
249,Richmond,"$85,972",
250,Rochester,"$98,958",
251,Rockland,"$69,247",
252,Rockport,"$64,839",
253,Rowe,"$56,477",
254,Rowley,"$86,820",
255,Royalston,"$58,750",
256,Russell,"$68,798",
257,Rutland,"$94,028",
258,Salem,"$60,690",
259,Salisbury,"$69,500",
260,Sandisfield,"$58,906",
261,Sandwich,"$83,305",
262,Saugus,"$77,371",
263,Savoy,"$53,036",
264,Scituate,"$102,210",
265,Seekonk,"$76,826",
266,Sharon,"$124,444",
267,Sheffield,"$55,781",
268,Shelburne,"$54,474",
269,Sherborn,"$155,956",
270,Shirley,"$67,896",
271,Shrewsbury,"$94,017",
272,Shutesbury,"$75,208",
273,Somerset,"$70,502",
274,Somerville,"$73,106",
275,South Hadley,"$60,427",
276,Southampton,"$79,858",
277,Southborough,"$143,916",
278,Southbridge,"$43,870",
279,Southwick,"$80,444",
280,Spencer,"$62,901",
281,Springfield,"$34,728",
282,Sterling,"$87,039",
283,Stockbridge,"$56,027",
284,Stoneham,"$78,099",
285,Stoughton,"$76,179",
286,Stow,"$137,551",
287,Sturbridge,"$83,806",
288,Sudbury,"$165,745",
289,Sunderland,"$47,688",
290,Sutton,"$108,615",
291,Swampscott,"$98,612",
292,Swansea,"$73,168",
293,Taunton,"$53,058",
294,Templeton,"$65,194",
295,Tewksbury,"$90,484",
296,Tisbury,"$42,180",
297,Tolland,"$87,292",
298,Topsfield,"$114,565",
299,Townsend,"$81,047",
300,Truro,"$60,432",
301,Tyngsborough,"$106,290",
302,Tyringham,"$77,500",
303,Upton,"$112,917",
304,Uxbridge,"$89,703",
305,Wakefield,"$85,573",
306,Wales,"$50,500",
307,Walpole,"$97,630",
308,Waltham,"$75,205",
309,Ware,"$47,513",
310,Wareham,"$58,728",
311,Warren,"$47,014",
312,Warwick,"$55,347",
313,Washington,"$72,321",
314,Watertown,"$87,409",
315,Wayland,"$145,266",
316,Webster,"$48,057",
317,Wellesley,"$163,454",
318,Wellfleet,"$45,735",
319,Wendell,"$43,854",
320,Wenham,"$109,250",
321,West Boylston,"$68,673",
322,West Bridgewater,"$81,119",
323,West Brookfield,"$64,375",
324,West Newbury,"$131,167",
325,West Springfield,"$54,585",
326,West Stockbridge,"$72,500",
327,West Tisbury,"$75,000",
328,Westborough,"$101,467",
329,Westfield,"$61,053",
330,Westford,"$121,591",
331,Westhampton,"$81,635",
332,Westminster,"$88,902",
333,Weston,"$199,519",
334,Westport,"$79,841",
335,Westwood,"$135,884",
336,Weymouth,"$69,123",
337,Whately,"$73,229",
338,Whitman,"$72,490",
339,Wilbraham,"$90,731",
340,Williamsburg,"$65,855",
341,Williamstown,"$72,393",
342,Wilmington,"$100,862",
343,Winchendon,"$59,661",
344,Winchester,"$143,017",
345,Windsor,"$76,042",
346,Winthrop,"$61,919",
347,Woburn,"$78,750",
348,Worcester,"$45,472",
349,Worthington,"$72,063",
350,Wrentham,"$102,659",
351,Yarmouth,"$57,569",
,,,
,Massachusetts,"$68,563",
,,,
,,,
